466,AMBOY,48,2937,45.9236,-122.45
467,AMBRIDGE,39,2228,40.6005,-80.2105
468,AMBROSE,11,404,31.5496,-82.9873
469,AMBROSE,29,1747,48.8165,-103.467
470,AMEAGLE,50,3083,37.7845,-81.1185
471,AMELIA,30,1833,42.5564,-99.0321
472,AMELIA,36,2036,39.0148,-84.2059
473,AMELIA COURT HOUSE,46,2787,37.3428,-77.9841
474,AMENIA,29,1744,47.021,-97.2715
475,AMENIA,35,1975,41.8265,-73.7109
476,AMERICAN CANYON,5,200,,
477,AMERICAN FALLS,14,671,42.6352,-112.946
478,AMERICAN FORK,45,2779,40.3958,-111.803
479,AMERICUS,11,499,32.0404,-84.2153
480,AMERICUS,17,926,38.5562,-96.2619
481,AMERY,49,3019,45.3486,-92.4014
482,AMES,13,618,42.0418,-93.6237
483,AMES,30,1815,41.4992,-96.6247
484,AMES,37,2155,36.2466,-98.1854
485,AMESBURY,20,1164,42.8535,-70.9482
486,AMESVILLE,36,2028,39.4107,-81.9364
487,AMF OHARE,15,692,41.968,-87.8912
488,AMHERST,6,277,40.6084,-102.358
489,AMHERST,20,1167,42.3737,-72.5379
490,AMHERST,30,1798,40.9166,-99.293
491,AMHERST,31,1887,42.8747,-71.6294
492,AMHERST,36,2070,41.3617,-82.2538
493,AMHERST,42,2385,45.7585,-97.9274
494,AMHERST,44,2642,34.0283,-102.425
495,AMHERST,46,2788,37.5916,-79.1084
496,AMHERST,49,3020,44.3931,-89.3353
497,AMHERST JUNCTION,49,3020,44.5304,-89.3563
498,AMHERSTDALE,50,3065,37.7959,-81.7833
499,AMIDON,29,1779,46.455,-103.485
500,AMIGO,50,3097,37.6033,-81.54
501,AMISSVILLE,46,2888,38.6878,-78.0769
502,AMISTAD,33,1944,36.3698,-103.506
503,AMITE,19,1148,30.7448,-90.4106
504,AMITY,3,92,34.2325,-93.3137
505,AMITY,25,1415,39.9044,-94.4907
506,AMITY,38,2224,45.1215,-123.191
507,AMITY,39,2287,40.0498,-80.1681
508,AMITYVILLE,35,2013,40.8043,-73.0245
509,AMLIN,36,2048,39.969,-83.0114
510,AMMA,50,3086,38.591,-81.2737
511,AMMON,46,2819,37.0724,-77.6475
512,AMORET,25,1390,38.2519,-94.332
513,AMORITA,37,2113,36.9251,-98.2924
514,AMORY,26,1545,33.9426,-88.4113
515,AMSTERDAM,25,1390,38.2519,-94.332
516,AMSTERDAM,35,1990,42.9063,-74.229
517,AMSTERDAM,36,2064,40.4864,-80.845
518,AMSTON,7,298,41.6264,-72.3728
519,ANABEL,25,1443,39.7428,-92.328
520,ANACOCO,19,1153,31.1423,-93.2685
521,ANACONDA,27,1591,46.1582,-113.009
522,ANACORTES,48,2960,48.4992,-122.607
523,ANADARKO,37,2119,35.1671,-98.3256
524,ANAHEIM,5,202,33.6403,-117.769
525,ANAHUAC,44,2539,29.662,-94.593
526,ANAMOOSE,29,1760,47.927,-100.285
527,ANAMOSA,13,586,42.1035,-91.2401
528,ANATONE,48,2933,46.1216,-117.179
529,ANAWALT,50,3069,37.3752,-81.6539
530,ANCHOR,15,740,40.5686,-88.7221
531,ANCHOR POINT,1,6,59.8371,-151.708
532,ANCHORAGE,1,1,61.1482,-149.685
533,ANCONA,15,729,41.0426,-88.8642
534,ANCRAM,35,1972,42.0674,-73.6577
535,ANCRAMDALE,35,1972,42.043,-73.5876
536,ANDALE,17,957,37.7797,-97.6366
537,ANDALUSIA,2,35,31.3042,-86.3864
538,ANDERSON,1,2,63.5436,-149.987
539,ANDERSON,2,54,34.9424,-87.2734
540,ANDERSON,5,217,40.4693,-122.278
541,ANDERSON,16,826,40.1282,-85.703
542,ANDERSON,25,1447,36.667,-94.4192
543,ANDERSON,41,2300,34.4698,-82.726
544,ANDERSON,44,2595,30.563,-95.9813
545,ANDERSON ISLAND,48,2958,47.1563,-122.707
546,ANDERSONVILLE,11,499,32.1559,-84.164
547,ANDERSONVILLE,43,2409,36.2025,-84.0688
548,ANDES,35,1974,42.1292,-74.8432
549,ANDOVER,7,298,41.7318,-72.3746
550,ANDOVER,17,878,37.7015,-97.0984
551,ANDOVER,20,1164,42.648,-71.1657
552,ANDOVER,22,1206,44.5682,-70.704
553,ANDOVER,24,1298,45.2377,-93.2724
554,ANDOVER,31,1888,43.447,-71.6841
555,ANDOVER,32,1910,41.0928,-74.719
556,ANDOVER,35,1963,42.1458,-77.8119
557,ANDOVER,36,2027,41.7401,-80.6023
558,ANDOVER,42,2360,45.3699,-97.604
559,ANDREAS,39,2278,40.7449,-75.8316
560,ANDREWS,16,813,40.8203,-85.5979
561,ANDREWS,28,1655,35.1707,-83.8711
562,ANDREWS,41,2318,33.4356,-79.4091
563,ANDREWS,44,2505,32.3704,-102.523
564,ANDREWS AIR FORCE BASE,21,1190,38.8062,-76.8755
565,ANETA,29,1767,47.7665,-98.0435
566,ANGEL FIRE,33,1917,36.5125,-104.92
567,ANGELA,27,1623,46.018,-106.992
568,ANGELICA,35,1963,42.2176,-78.0906
569,ANGELS CAMP,5,177,38.0528,-120.619
570,ANGELUS OAKS,5,208,34.1538,-116.512
571,ANGIE,19,1154,30.9086,-89.8518
572,ANGIER,28,1678,35.4782,-78.7294
573,ANGLETON,44,2523,29.1691,-95.4358
574,ANGOLA,16,854,41.6726,-85.0005
575,ANGOLA,35,1976,42.8234,-78.8584
576,ANGORA,24,1365,47.7537,-92.7568
577,ANGORA,30,1850,41.7215,-103.004
578,ANGUILLA,26,1560,32.9739,-90.8316
579,ANGUS,24,1356,47.8364,-96.3504
580,ANGWIN,5,200,38.5714,-122.45
